datetime,main.temp,main.humidity,main.feels_like,city_name
2026-01-01 06:02:00+08:00,22.83,93.0,23.6,Kidapawan
2026-01-01 06:02:02+08:00,23.51,96.0,24.42,Koronadal
2026-01-01 06:02:13+08:00,24.5,95.0,25.49,Legazpi City
2026-01-01 06:02:17+08:00,23.86,94.0,24.76,Lucena
2026-01-01 06:00:00+08:00,25.97,81.0,25.97,Makati City
2026-01-01 06:02:25+08:00,19.03,96.0,19.5,Malaybalay
2026-01-01 06:02:48+08:00,24.24,92.0,25.12,Ormoc
2026-01-01 06:02:54+08:00,23.03,92.0,23.79,Pagadian
2026-01-01 06:00:05+08:00,25.15,85.0,25.94,Quezon City
2026-01-01 06:03:32+08:00,24.54,79.0,25.11,Surigao City
2026-01-01 06:03:38+08:00,23.62,94.0,24.49,Tacloban City
2026-01-01 06:03:58+08:00,25.35,87.0,26.21,Toledo City
2026-01-01 06:04:10+08:00,24.99,94.0,26.0,Zamboanga City
2026-01-01 07:00:02+08:00,24.25,88.0,25.03,Angeles City
2026-01-01 07:00:04+08:00,24.04,90.0,24.85,Antipolo
2026-01-01 07:00:06+08:00,24.51,92.0,25.42,Bacolod
2026-01-01 07:00:12+08:00,15.36,94.0,15.41,Baguio
2026-01-01 07:00:14+08:00,26.47,83.0,26.47,Bais
2026-01-01 07:00:21+08:00,24.17,88.0,24.94,Batangas City
2026-01-01 07:00:24+08:00,26.25,88.0,26.25,Baybay
2026-01-01 07:00:32+08:00,25.86,87.0,26.77,Bogo
2026-01-01 07:00:33+08:00,24.3,94.0,25.24,Borongan
2026-01-01 07:00:36+08:00,23.88,39.0,23.34,Cabadbaran
2026-01-01 07:00:38+08:00,24.34,86.0,25.08,Cabanatuan City
2026-01-01 07:00:43+08:00,25.87,87.0,26.78,Cadiz
2026-01-01 07:00:44+08:00,24.95,80.0,25.59,Cagayan de Oro
2026-01-01 07:00:07+08:00,26.1,84.0,26.1,Calamba
2026-01-01 07:00:53+08:00,24.32,91.0,25.18,Calbayog City
2026-01-01 07:00:54+08:00,25.79,84.0,26.62,Caloocan City
2026-01-01 07:01:05+08:00,24.91,89.0,25.78,Catbalogan
2026-01-01 07:01:10+08:00,24.81,94.0,25.8,Cebu City
